Bike Name,Price,Model Year,Mileage,City
Honda CG 125  2024 ,PKR 2.12 lacs,2024,800 km,Faisalabad
Honda CBR 1000RR  2023 ,Call,2023,1 km,Lahore
Honda CBR 600RR  2020 ,Call,2020,"6,600 km",Lahore
Harley Davidson Other  2015 ,Call,2015,350 km,Lahore
Yamaha YBR 125  2022 ,PKR 3.5 lacs,2022,"6,000 km",Islamabad
Suzuki GS 150 SE  2022 ,PKR 4.5 lacs,2022,"1,450 km",Sialkot
United US Scooty 100  2025 ,PKR 2.05 lacs,2025,1 km,Islamabad
Metro T9  2025 ,PKR 2.3 lacs,2025,1 km,Rawalpindi
Yadea Ruibin  2025 ,PKR 1.55 lacs,2025,1 km,Rawalpindi
Evee S1  2025 ,PKR 1.55 lacs,2025,1 km,Islamabad
Yamaha ATV Blaster  2025 ,PKR 1.65 lacs,2025,1 km,Rawalpindi
Evee Nisa  2025 ,PKR 1.1 lacs,2025,1 km,Rawalpindi
United US 70  2021 ,"PKR 45,000",2021,"20,000 km",Sargodha
Honda CD 70  2019 ,"PKR 99,000",2019,"57,000 km",Lahore
Honda CG 125  2013 ,"PKR 80,000",2013,"50,000 km",Layyah
Honda CD 70  2019 ,"PKR 58,000",2019,600 km,Faisalabad
Honda CD 70  2020 ,PKR 1.1 lacs,2020,"1,000 km",Rawalpindi
Honda Pridor  2020 ,PKR 1.2 lacs,2020,"55,000 km",Lahore
Honda CG 125  2017 ,PKR 1 lacs,2017,"50,000 km",Faisalabad
Honda CB 150F  2018 ,PKR 2.5 lacs,2018,"15,000 km",Larkana
Honda CG 125  2021 ,PKR 1.9 lacs,2021,"18,000 km",Islamabad
Shelby NINJA 200  2021 ,PKR 3 lacs,2021,"5,000 km",Peshawar
Honda CG 125  2009 ,PKR 1.4 lacs,2009,"80,000 km",Rawalpindi
Honda CD 70 Dream  2021 ,PKR 1.25 lacs,2021,"30,000 km",Islamabad
Chinese Bikes Other  2020 ,PKR 4 lacs,2020,"15,000 km",Attock
Honda CG 125  2014 ,PKR 1.5 lacs,2014,"56,384 km",Islamabad
Honda CG 125  2022 ,PKR 1.55 lacs,2022,"20,000 km",Toba Tek Singh
Honda CG 125  2023 ,PKR 1.7 lacs,2023,"45,000 km",Lahore
Suzuki GD 110S  2024 ,PKR 3.1 lacs,2024,"17,600 km",Multan
Honda CG 125  2022 ,PKR 1.6 lacs,2022,"30,000 km",Gujranwala
Kawasaki Z1000  2015 ,PKR 35 lacs,2015,"16,500 km",Lahore
Honda CG 125  2004 ,PKR 1.2 lacs,2004,"5,000 km",Taxila
Honda CG 125  2018 ,PKR 1.1 lacs,2018,"50,000 km",Multan
Suzuki GD 110S  2024 ,PKR 3.25 lacs,2024,"20,000 km",Lahore
United US 70  2019 ,"PKR 62,000",2019,"50,000 km",Faisalabad
Honda CG 125  2017 ,PKR 1 lacs,2017,"50,000 km",Faisalabad
Yadea Epoc-H  2025 ,PKR 1.69 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 1.95 lacs,2025,1 km,Rawalpindi
Yadea GT30  2025 ,PKR 1.89 lacs,2025,1 km,Islamabad
Yadea Ruibin  2025 ,PKR 2.04 lacs,2025,1 km,Rawalpindi
Lifan KPT 200  2024 ,PKR 10.75 lacs,2024,1 km,Lahore
Lifan V16S  2024 ,PKR 13.95 lacs,2024,1 km,Rawalpindi
Honda CG 125  2022 ,PKR 2 lacs,2022,"12,250 km",Rawalpindi
Benelli 302S  2023 ,PKR 16.5 lacs,2023,"3,800 km",Karachi
Honda CG 125  2012 ,"PKR 97,000",2012,"50,000 km",Karachi
Hi Speed Cyclone 250  2025 ,PKR 7.5 lacs,2025,1 km,Rawalpindi
CF MOTO 450MT  2022 ,PKR 20.5 lacs,2022,"4,400 km",Sahiwal
Suzuki GD 110S  2023 ,PKR 3.7 lacs,2023,"2,000 km",Islamabad
Honda CD 70  2018 ,"PKR 75,000",2018,"15,000 km",Gujranwala
Super Power Leo 200  2018 ,PKR 2.8 lacs,2018,"5,000 km",Karachi
Honda CD 70  2021 ,PKR 1.18 lacs,2021,"32,000 km",Faisalabad
Metro MR 70  2010 ,"PKR 23,000",2010,"30,000 km",Sahiwal
Honda CG 125  2025 ,PKR 2.35 lacs,2025,200 km,Islamabad
Union Star US 70cc  2025 ,"PKR 97,000",2025,50 km,Rawalpindi
Honda CG 125 Special Edition  2023 ,PKR 2.1 lacs,2023,"28,000 km",Lahore
Suzuki Sprinter  2008 ,"PKR 30,000",2008,"2,000 km",Karachi
Hi Speed CDI SR-70CC EURO-2  2012 ,"PKR 37,000",2012,"24,545 km",Rawalpindi
Suzuki GSX 125  2024 ,PKR 4.4 lacs,2024,"4,000 km",Rawalpindi
Super Star CD 70  2023 ,"PKR 77,000",2023,"20,000 km",Karachi
Super Power SP 70  2016 ,"PKR 42,000",2016,"9,500 km",Karachi
Honda CG 125  2015 ,"PKR 75,000",2015,"786,786 km",Sahiwal
Honda CG 125  1994 ,"PKR 78,000",1994,"56,000 km",Abbottabad
Suzuki GS 150 SE  2019 ,PKR 3.45 lacs,2019,"6,000 km",Karachi
Honda CG 125  2023 ,PKR 2 lacs,2023,"7,100 km",Rahim Yar Khan
Hi Speed CDI SR-70CC EURO-2  2020 ,PKR 3.1 lacs,2020,"7,500 km",Kasur
Honda CG 125  2022 ,PKR 1.7 lacs,2022,"120,617 km",Karachi
Safari SD 70  2011 ,"PKR 35,000",2011,"50,000 km",Swabi
Yamaha YBR 125G  2021 ,PKR 2.85 lacs,2021,"20,000 km",Multan
Honda CD 70  2013 ,"PKR 80,000",2013,"80,000 km",Faisalabad
Honda CD 70  2005 ,"PKR 44,000",2005,"10,000 km",Multan
Asia Hero  125  2013 ,PKR 1.2 lacs,2013,"80,000 km",Jhelum
Honda CD 70  2018 ,"PKR 70,000",2018,"2,018 km",Arifwala
Honda CG 125  2025 ,PKR 2.38 lacs,2025,600 km,Mirpur khas
Hi Speed SR 200  2024 ,PKR 5.25 lacs,2024,"2,000 km",Lahore
Yamaha YBR 125  2017 ,PKR 2.1 lacs,2017,"27,000 km",Lahore
BMW M 1000 RR  2012 ,PKR 42 lacs,2012,"20,000 km",Gujranwala
Road King R99 Pro  2025 ,PKR 1.7 lacs,2025,1 km,Islamabad
Chinese Bikes Other  2025 ,"PKR 98,000",2025,1 km,Islamabad
Road King Eagle-i  2025 ,PKR 2.35 lacs,2025,1 km,Islamabad
Road King Eagle-i  2025 ,PKR 2.35 lacs,2025,1 km,Islamabad
Yamaha YZF-R1  2022 ,Call,2022,"4,041 km",Lahore
Yamaha YZF-R1  2012 ,PKR 17 lacs,2012,"25,000 km",Lahore
Honda CD 70 Dream  2023 ,PKR 1.39 lacs,2023,"16,097 km",Faisalabad
Ducati Other  2016 ,PKR 49.9 lacs,2016,"9,000 km",Bahawalpur
Suzuki GD 110S  2024 ,PKR 3.2 lacs,2024,"8,500 km",Lahore
